{'epochs': 10, 'sg': 1, 'vector_size': 3, 'window': 25} -> 0.11449590156785465
{'epochs': 8, 'sg': 1, 'vector_size': 3, 'window': 25} -> 0.12627258985665643
{'epochs': 10, 'sg': 1, 'vector_size': 3, 'window': 20} -> 0.12849591586262585
{'epochs': 8, 'sg': 1, 'vector_size': 3, 'window': 20} -> 0.13624663163420458
{'epochs': 5, 'sg': 1, 'vector_size': 3, 'window': 25} -> 0.14409597154196624
{'epochs': 5, 'sg': 1, 'vector_size': 3, 'window': 20} -> 0.14422278522447513
{'epochs': 10, 'sg': 1, 'vector_size': 3, 'window': 15} -> 0.1447926147206644
{'epochs': 5, 'sg': 1, 'vector_size': 3, 'window': 15} -> 0.1464375747006119
{'epochs': 8, 'sg': 1, 'vector_size': 3, 'window': 15} -> 0.14745602682742742
{'epochs': 10, 'sg': 1, 'vector_size': 5, 'window': 25} -> 0.18509010214225952
{'epochs': 10, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.19023491457267575
{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 25} -> 0.19100256810465152
{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.1960823195610828
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 25} -> 0.19889669370008792
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.19973682030202056
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20054092033975546
{'epochs': 10, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20182318532197335
{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20302915237510685
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 25} -> 0.22584369907968274
{'epochs': 10, 'sg': 1, 'vector_size': 7, 'window': 25} -> 0.23463992261115674
{'epochs': 10, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.23650161730379549
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.2389589579817044
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 25} -> 0.23916582698493014
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.24036744557875467
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.24116442022778958
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.24386752631178094
{'epochs': 10, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.2448239342472452
{'epochs': 10, 'sg': 0, 'vector_size': 3, 'window': 20} -> 0.6075993755778518
{'epochs': 10, 'sg': 0, 'vector_size': 3, 'window': 25} -> 0.6078594166317923
{'epochs': 8, 'sg': 0, 'vector_size': 3, 'window': 25} -> 0.6146718501524926
{'epochs': 5, 'sg': 0, 'vector_size': 3, 'window': 15} -> 0.624767131005262
{'epochs': 8, 'sg': 0, 'vector_size': 3, 'window': 20} -> 0.6252532726512707
{'epochs': 10, 'sg': 0, 'vector_size': 3, 'window': 15} -> 0.6306946183655793
{'epochs': 5, 'sg': 0, 'vector_size': 3, 'window': 25} -> 0.6358008491928411
{'epochs': 8, 'sg': 0, 'vector_size': 3, 'window': 15} -> 0.6380863779248827
{'epochs': 5, 'sg': 0, 'vector_size': 3, 'window': 20} -> 0.6469184150579221
{'epochs': 10, 'sg': 0, 'vector_size': 5, 'window': 25} -> 0.6700321610441227
{'epochs': 10, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.6786613830440026
{'epochs': 10, 'sg': 0, 'vector_size': 7, 'window': 25} -> 0.6825901129876294
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 25} -> 0.6884714773238835
{'epochs': 10, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.6912648273986861
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 25} -> 0.6991574286007843
{'epochs': 10, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.6999348453945352
{'epochs': 10, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.7071847191868578
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.7089984134084225
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.7098294574621405
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.7152772778712354
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.7189687908619427
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 25} -> 0.7319055082023944
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 25} -> 0.737519417538554
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.7466540246473996
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.7484880196498578
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.7554935015382345
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.7583584528408859
