{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.2954936634862853
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.30072306892771716
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.31008412199108054
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.31038375133059615
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.3192339427661957
{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.32187533260435636
{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 5} -> 0.32432678478460736
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 5} -> 0.33827276460460387
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 5} -> 0.36427213356393906
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 15} -> 0.3684534348516753
{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 15} -> 0.3692244893361677
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 15} -> 0.376023838848361
{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.3876865190114148
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.3890997176696011
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 10} -> 0.3982387561980293
{'epochs': 8, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.40285233551846195
{'epochs': 5, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.4142490007568517
{'epochs': 3, 'sg': 1, 'vector_size': 15, 'window': 5} -> 0.4283029795056638
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 15} -> 0.47304716502769767
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 15} -> 0.4803038635678666
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.48044596221218683
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 15} -> 0.48230140248546893
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.4887487776014693
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 10} -> 0.4888144168215825
{'epochs': 8, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.5132713465912763
{'epochs': 5, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.514069184936949
{'epochs': 3, 'sg': 1, 'vector_size': 30, 'window': 5} -> 0.5199597334712931
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.7520151130764642
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.7529989897935181
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 5} -> 0.7640612214605365
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 15} -> 0.7814567971378198
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.7838205831138547
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.7959066973626917
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.8046177078982377
{'epochs': 8, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.8048007870503449
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 5} -> 0.8065334985654439
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 15} -> 0.8163047288258107
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 15} -> 0.8169853802447705
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 5} -> 0.8230722622509505
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.823175896614988
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.830753906759018
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8311475742771091
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.8315137420140954
{'epochs': 5, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.8341237810196775
{'epochs': 8, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8399168872660263
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 15} -> 0.8436362062879846
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 15} -> 0.8483204417960972
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 10} -> 0.8516349102593265
{'epochs': 3, 'sg': 0, 'vector_size': 15, 'window': 5} -> 0.8588700191703694
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8634177259757336
{'epochs': 5, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8660574117078195
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 15} -> 0.8798409598996422
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 10} -> 0.8860237199068711
{'epochs': 3, 'sg': 0, 'vector_size': 30, 'window': 5} -> 0.8976718970943462
