{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.19574313511324876
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.19791436021546593
{'epochs': 3, 'sg': 1, 'vector_size': 5, 'window': 20} -> 0.199327464784689
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20131631473280664
{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20434490671463792
{'epochs': 8, 'sg': 1, 'vector_size': 5, 'window': 10} -> 0.2052601883930775
{'epochs': 3, 'sg': 1, 'vector_size': 5, 'window': 15} -> 0.20631877059218204
{'epochs': 5, 'sg': 1, 'vector_size': 5, 'window': 10} -> 0.2078905005076733
{'epochs': 3, 'sg': 1, 'vector_size': 5, 'window': 10} -> 0.21948166702669059
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.23447029095335017
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.23544812878030788
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.23858260184277458
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.2393985894432804
{'epochs': 3, 'sg': 1, 'vector_size': 7, 'window': 20} -> 0.239598796602773
{'epochs': 3, 'sg': 1, 'vector_size': 7, 'window': 15} -> 0.2463052066572181
{'epochs': 5, 'sg': 1, 'vector_size': 7, 'window': 10} -> 0.25035620606374037
{'epochs': 8, 'sg': 1, 'vector_size': 7, 'window': 10} -> 0.2527299155479723
{'epochs': 3, 'sg': 1, 'vector_size': 7, 'window': 10} -> 0.26084014788486437
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 20} -> 0.29553747554296084
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.29692756072303045
{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 20} -> 0.298380994737232
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 20} -> 0.3038970894912929
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.30673068851044877
{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 15} -> 0.3120531823277271
{'epochs': 5, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.3175661978565212
{'epochs': 3, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.3216674662359944
{'epochs': 8, 'sg': 1, 'vector_size': 10, 'window': 10} -> 0.3218712944022828
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.7068490618877377
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.7072938867775854
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.7176302976633477
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.720771305150382
{'epochs': 8, 'sg': 0, 'vector_size': 7, 'window': 10} -> 0.7226430595126869
{'epochs': 8, 'sg': 0, 'vector_size': 5, 'window': 10} -> 0.7320762814993803
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 20} -> 0.7381131229436387
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.7495274014675173
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.7497464307679237
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.75242355699268
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.7591314416902544
{'epochs': 8, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.7595686756749352
{'epochs': 5, 'sg': 0, 'vector_size': 7, 'window': 10} -> 0.7634115237874639
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.7694456236888572
{'epochs': 5, 'sg': 0, 'vector_size': 5, 'window': 10} -> 0.7727849360576516
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.7807986864968406
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 20} -> 0.7815191240928764
{'epochs': 3, 'sg': 0, 'vector_size': 7, 'window': 20} -> 0.7905198412017213
{'epochs': 5, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.7919125763279665
{'epochs': 3, 'sg': 0, 'vector_size': 5, 'window': 20} -> 0.7948077846156376
{'epochs': 3, 'sg': 0, 'vector_size': 5, 'window': 15} -> 0.8008515371850011
{'epochs': 3, 'sg': 0, 'vector_size': 7, 'window': 10} -> 0.801779175324876
{'epochs': 3, 'sg': 0, 'vector_size': 5, 'window': 10} -> 0.8056594325398947
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 20} -> 0.8077876065773347
{'epochs': 3, 'sg': 0, 'vector_size': 7, 'window': 15} -> 0.8118513876709923
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 15} -> 0.8121803097646034
{'epochs': 3, 'sg': 0, 'vector_size': 10, 'window': 10} -> 0.8218598262022079
